building_id,mean_energy,std_energy,max_energy,min_energy,mean_gap,std_gap,mean_gap_pct,mean_temp,square_feet,primary_use,year_built,site_id,energy_intensity,gap_intensity,cv_energy,cluster
0,146.85622,121.82242,448.0,0.0,3.468099,46.729866,14.712113,22.830833333333334,7432,Education,2008.0,0,0.01975732765110508,0.00046658134229504277,0.8239249,3.0
1,75.0705,61.725334,255.0,0.0,3.2692208,25.735159,22.542477,22.830833333333334,2720,Education,2004.0,0,0.027589306591276473,0.0012014777026865158,0.8114227,3.0
2,14.591252,16.067692,67.983,0.0,-6.1172457,12.012276,-3.610869,22.830833333333334,5376,Education,1991.0,0,0.0027136418685075937,-0.0011376688997830203,1.0305581,0.0
3,236.19531,205.89801,937.0,0.0,-8.095808,115.61276,10.901477,22.830833333333334,23685,Education,2002.0,0,0.009971937536941653,-0.0003417971810003717,0.8680526,0.0
4,979.2322,779.0818,3592.0,0.0,-24.57719,312.57355,12.499943,22.830833333333334,116607,Education,1975.0,0,0.008397641480296163,-0.00021076761799507685,0.7947931,2.0
5,17.943472,18.804405,75.0816,0.0,-3.3234162,12.075397,5.5482025,22.830833333333334,8000,Education,2000.0,0,0.002242653656864059,-0.00041537510724443745,0.99265885,0.0
6,64.242134,57.38682,266.199,0.0,3.8916554,22.82407,16.53047,22.830833333333334,27926,Lodging/residential,1981.0,0,0.002300359297247763,0.00013935100243846017,0.87959754,0.0
7,351.29398,287.59625,1160.0,0.0,-48.761578,143.23364,6.3854356,22.830833333333334,121074,Education,1989.0,0,0.002901457574479274,-0.0004027386133074637,0.816353,0.0
8,257.6317,208.61029,749.0,0.0,-3.808101,76.15676,12.025876,22.830833333333334,60809,Education,2003.0,0,0.0042366668947079016,-6.262293929940795e-05,0.80659205,0.0
9,72.91396,66.8455,242.855,0.0,-18.070871,41.74553,1.8589721,22.830833333333334,27000,Office,2010.0,0,0.0027004171444713564,-0.0006692667439409434,0.904369,0.0
10,983.63605,825.8721,3289.0,0.0,-99.95057,398.57657,7.715673,22.830833333333334,370773,Entertainment/public assembly,1991.0,0,0.0026529261689419463,-0.0002695727563228059,0.8387587,2.0
11,297.20456,233.04053,1052.0,0.0,4.4891915,89.26402,17.395504,22.830833333333334,49073,Education,1968.0,0,0.006056252991934056,9.147800326313342e-05,0.78147876,0.0
12,143.81891,120.270836,425.235,0.0,9.193708,41.625584,22.512892,22.830833333333334,37100,Lodging/residential,1999.0,0,0.003876415964297627,0.00024780217298185506,0.83049124,0.0
13,228.63356,189.65768,742.0,0.0,-33.169407,97.90644,5.85181,22.830833333333334,99380,Education,2000.0,0,0.0023005761682883454,-0.00033376004357844196,0.8259145,0.0
14,260.29883,220.8143,872.0,0.0,-45.350708,122.29509,4.5676074,22.830833333333334,86250,Education,2013.0,0,0.003017922437131164,-0.0005257992140127361,0.8450643,0.0
15,165.32945,141.0431,571.0,0.0,-43.345554,87.81872,1.3300945,22.830833333333334,83957,Office,1974.0,0,0.0019691923642136356,-0.000516276642509429,0.8479743,0.0
16,811.3962,658.3243,2870.0,0.0,43.041256,276.62015,19.844347,22.830833333333334,54644,Education,1996.0,0,0.01484849810960232,0.0007876522271191826,0.8103488,2.0
17,64.98108,57.13802,238.76,0.0,-5.2474723,29.1763,8.040756,22.830833333333334,15250,Office,1980.0,0,0.004260774972235427,-0.0003440739811307039,0.86597586,0.0
18,1251.7192,990.7237,4521.0,0.0,14.448015,385.0668,13.137414,22.830833333333334,111891,Education,1996.0,0,0.011186851949033443,0.0001291246488847522,0.7908585,2.0
19,126.70188,103.99172,443.0,0.0,-9.08978,48.896408,9.13761,22.830833333333334,18717,Office,2004.0,0,0.006768986078036724,-0.0004856170452944118,0.81433195,0.0
20,320.8807,271.7396,1121.0,0.0,-75.247986,164.08113,4.170823,22.830833333333334,110272,Education,1977.0,0,0.002909875552375553,-0.0006823790577915152,0.8442246,0.0
21,47.438683,43.538967,181.0,0.0,-4.6683254,23.501997,7.5137467,22.830833333333334,7043,Office,1990.0,0,0.006734622736534972,-0.000662737851248486,0.89884704,0.0
22,18.48605,16.187275,56.0757,0.0,-1.599433,7.0117884,9.350478,22.830833333333334,3569,Education,1996.0,0,0.005178165168655353,-0.00044802043284354755,0.83071095,0.0
23,546.3017,438.06735,1950.0,0.0,-38.615345,191.33246,8.895655,22.830833333333334,130885,Education,1985.0,0,0.004173874186523721,-0.0002950303699495798,0.80041295,0.0
24,548.74097,456.303,2292.0,0.0,-44.526974,247.47745,7.751251,22.830833333333334,105545,Education,2001.0,0,0.005199069285400442,-0.0004218726784943554,0.83003277,0.0
